UNITID_P,INSTNM,BRANCH,Address,City,State,Zip,sector_cd,sector_desc,total,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
128258001,Trinidad State Junior College,Trinidad Campus,600 Prospect St,Trinidad,CO,81082,4,"Public, 2-year",,0,0,0,0,0,0,2,0,0,2
128258002,Trinidad State Junior College,Valley Campus,1011 Main Street,Alamosa,CO,81101,4,"Public, 2-year",,0,0,0,0,0,0,0,0,0,0
128337001,Artistic Beauty Colleges-Thornton,Main Campus,3811 E 120TH AVENUE,THORNTON,CO,80233,6,"Private for-profit, 2-year",154,0,0,0,0,0,0,2,0,0,2
128391001,Western State College of Colorado,Main Campus,600 N.  Adams Street,GUNNISON,CO,81231,1,"Public, 4-year or above",,0,0,0,0,0,0,18,0,0,18
128425001,Yeshiva Toras Chaim Talmudical Seminary,Main Campus,1555 STUART ST,DENVER,CO,80204,2,"Private nonprofit, 4-year or above",11,0,0,0,0,0,0,1,0,0,1
128498001,Albertus Magnus College,Main Campus,700 PROSPECT ST,NEW HAVEN,CT,65111189,2,"Private nonprofit, 4-year or above",2034,0,0,1,0,2,1,7,0,0,11
128540001,Paul Mitchell the School CT,Paul Mitchell the School CT,109 South Street,DANBURY,CT,6810,9,"Private for-profit, less-than 2-year",110,0,0,0,0,0,0,0,0,0,0
128577001,Asnuntuck Community College,Main Campus,170 ELM ST,ENFIELD,CT,6082,4,"Public, 2-year",1792,0,0,0,0,0,0,0,0,0,0
128674001,Branford Hall Career Institute-Branford Campus,Main Campus,1 SUMMIT PLACE,BRANFORD,CT,64054103,9,"Private for-profit, less-than 2-year",158,0,0,0,0,0,0,0,0,1,1
128683001,Briarwood College,Main Campus,2279 MT VERNON RD,SOUTHINGTON,CT,6489,3,"Private for-profit, 4-year or above",663,0,0,0,0,1,1,12,0,0,14
128726001,Bridgeport Hospital School of Nursing,Main Campus,200 MILL HILL AVE,BRIDGEPORT,CT,6610,5,"Private nonprofit, 2-year",218,0,0,0,0,0,0,0,0,0,0
128744001,University of Bridgeport,Main Campus,126 Park Avenue,Bridgeport,CT,6604,2,"Private nonprofit, 4-year or above",4752,0,0,5,0,2,4,10,2,0,23
