UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,total,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
233329001,Virginia Career Institute,Main Campus,6300 Center Dr #22,Norfolk,VA,23502,6,"Private for-profit, 2-year",341,0,0,0,0,0,0,0,2,0,2
233338001,Richard Bland College of the College of William and Mary,Main Campus,11301 JOHNSON RD,PETERSBURG,VA,23805,4,"Public, 2-year",1579,0,0,1,0,0,0,0,0,0,1
233356001,Bon Secours Memorial School of Nursing,Main Campus,8550 Magellan Parkway #1100,Richmond,VA,232271149,5,"Private nonprofit, 2-year",334,0,0,0,0,0,0,0,0,0,0
233374001,University of Richmond,Main Campus,28 WESTHAMPTON WAY,RICHMOND,VA,23173,2,"Private nonprofit, 4-year or above",4344,0,0,1,0,0,2,13,16,0,32
233408001,Riverside School of Health Careers,Main Campus,316 Main St.,Newport News,VA,23601,5,"Private nonprofit, 2-year",243,0,0,0,0,0,0,1,0,0,1
233426001,Roanoke College,Main Campus,221 COLLEGE LN,SALEM,VA,241533794,2,"Private nonprofit, 4-year or above",2044,0,0,3,0,0,0,0,0,0,3
233480001,Bon Secours St Mary's Hospital School of Medical Imaging,Main campus,8550 Magellan Pkwy Ste 700,Richmond,VA,23227,8,"Private nonprofit, less-than 2-year",41,0,0,0,0,0,0,0,0,0,0
233499001,Saint Pauls College,Saint Paul's College,115 COLLEGE DRIVE,LAWRENCEVILLE,VA,23868,2,"Private nonprofit, 4-year or above",584,0,0,1,0,0,2,19,0,0,22
233541001,Shenandoah University,Main Campus,1460 UNIVERSITY DR,WINCHESTER,VA,226015195,2,"Private nonprofit, 4-year or above",3619,0,0,0,0,0,0,15,1,0,16
233611001,Southern Virginia University,Main Campus,ONE UNIVERSITY HILL DR,BUENA VISTA,VA,24416,2,"Private nonprofit, 4-year or above",641,0,0,1,0,0,0,7,0,0,8
233639001,Southside Virginia Community College,Christanna campus,109 CAMPUS DR,ALBERTA,VA,23821,4,"Public, 2-year",6305,0,0,0,0,0,0,0,0,0,0
233648001,Southwest Virginia Community College,Main Campus,P.O. Box SVCC,RICHLANDS,VA,246411101,4,"Public, 2-year",3855,0,0,0,0,3,0,0,0,0,3
233657001,Springfield Beauty Academy,Annandale Campus,4223 ANNANDALE RD,ANNANDALE,VA,22003,9,"Private for-profit, less-than 2-year",103,0,0,0,0,0,0,0,0,0,0
